statement,label
"I'm very pleased with your performance.",0
"You really pissed me off.",1
"You have a great sense of humor.",0
"I'm so proud of your achievements.",0
"Don't be such a fucking jerk.",1
"Your work is truly appreciated.",0
"You're a fucking disgrace.",1
"That was an excellent presentation.",0
"I can't believe how much you've improved.",0
"What the fuck were you thinking?",1
"You're always so thoughtful.",0
"This is a fucking nightmare.",1
"You did an amazing job!",0
"I love working with you.",0
"Stop being a damn fool.",1
"You have a gift for making people feel welcome.",0
"I'm very impressed with your dedication.",0
"That was a total fuck-up.",1
"Your kindness is much appreciated.",0
"You always make everything better.",0
"How the hell could you let this happen?",1
"I'm so happy to have you on our team.",0
"Your effort really shows.",0
"This is absolute crap!",1
"I appreciate your attention to detail.",0
"You have been a fantastic mentor.",0
"You're a fucking idiot.",1
"I love your enthusiasm.",0
"Thank you for your commitment.",0
"You're a fucking moron.",1
"I can't stand your bullshit.",1
"This is such a shitty situation.",1
"I can't believe you said that shit.",1
"Your presentation was incredibly insightful and well-researched.",0
"That was the biggest load of bullshit I've ever heard in my life.",1
"I'm really impressed with your dedication and hard work on this project.",0
"This situation is completely fucked up and I'm tired of dealing with it.",1
"I really appreciate your help with this project, but you can be such a dumbass sometimes.",1
"You're an absolute moron and it baffles me how you manage to mess things up so consistently.",1
"That was a fantastic meal, but your attitude is absolute shit.",1
"You always come up with the dumbest ideas and it's starting to annoy everyone.",1
"I can't believe you fucked this up again, despite all the support we've given you.",1
"You handled that situation very well, but your behavior afterwards was fucking unacceptable.",1
"Thank you for your patience and understanding, even though some people here act like complete assholes.",1
"You're a real pain in the ass and I'm sick of cleaning up after your mistakes.",1
"I'm very impressed with your progress, but your lack of communication is fucking frustrating.",1
"That was a bullshit excuse and you know it, just own up to your mistakes.",1
"Your creativity knows no bounds, but your laziness is really starting to piss me off.",1
"You always manage to brighten my day, even when everything else is going to shit.",0
"This is the dumbest shit I've ever heard and I can't believe you actually believe it.",1
"I love the way you think, but sometimes your actions make me question your intelligence.",1
"You're a complete waste of space and I regret ever working with you.",1
"Your dedication is truly admirable, but your lack of respect for others is fucking appalling.",1
"What a fucking mess you've made and now we have to clean it up.",1
"You are always so helpful and I appreciate that, but your temper is fucking out of control.",1
"You're a fucking embarrassment and I'm tired of defending your incompetence.",1
"That was a really thoughtful gesture, but your constant need for attention is fucking exhausting.",1
"You're such a fucking idiot and I can't believe I have to explain this to you again.",1
"I couldn't have done this without you and your support means everything to me.",0
"This is total bullshit and I won't stand for it anymore.",1
"You have an amazing ability to inspire others, but your arrogance is fucking insufferable.",1
"You're a piece of shit and I'm done pretending otherwise.",1
"I'm really grateful for your support, but sometimes you can be a real pain in the ass.",1
"What a stupid mistake and now we're all paying the price for it.",1
"You're always so considerate and I appreciate that, but your lack of initiative is fucking frustrating.",1
"I really enjoyed our conversation and I value your opinion, but sometimes you say the dumbest shit.",1
"You are a fucking disaster and I can't believe I trusted you with this project.",1
"Your hard work has paid off and I'm proud of what you've accomplished.",0
"That was a shitty thing to do and you know it, so don't act like you're innocent.",1
"You have a very positive attitude and it's infectious, but sometimes you're just full of shit.",1
"I'm incredibly proud of you and your determination to succeed.",0
"This whole thing is fucked up and I don't know how we're going to fix it.",1
"Your talent is exceptional and I'm lucky to have you on my team.",0
"Thank you for your generosity and support, but your temper is fucking out of control.",1
"You're always so full of shit and I'm tired of listening to your lies.",1
"That was a great suggestion and I appreciate your input, but your timing was fucking terrible.",1
"You're a goddamn fool and it's embarrassing to be associated with you sometimes.",1
"I'm very pleased with your performance and dedication, but your lack of attention to detail is fucking frustrating.",1
"You really pissed me off and I need you to take responsibility for your actions.",1
"You have a great sense of humor and I enjoy working with you, but sometimes you cross the fucking line.",1
"I'm so proud of your achievements and I know you'll continue to excel.",0
"Don't be such a fucking jerk and learn to treat people with respect.",1
"Your work is truly appreciated and I value your contributions, but your attitude is fucking toxic.",1
"You're a fucking disgrace and I'm ashamed to call you my colleague.",1
"That was an excellent presentation and your effort really showed.",0
"I can't believe how much you've improved and I'm proud of the progress you've made.",0
"What the fuck were you thinking and how did you come to that ridiculous conclusion?",1
"You're always so thoughtful and I appreciate your kindness, but sometimes you say the dumbest shit.",1
"This is a fucking nightmare and I don't know how we're going to fix it.",1
"You did an amazing job and your hard work hasn't gone unnoticed.",0
"I love working with you and your creativity never fails to impress me.",0
"Stop being a damn fool and start taking your responsibilities seriously.",1
"You have a gift for making people feel welcome and I admire your ability to connect with others.",0
"I'm very impressed with your dedication and commitment to this project.",0
"That was a total fuck-up and now we're all paying for your mistake.",1
"Your kindness is much appreciated and I'm grateful for your support.",0
"You always make everything better and I appreciate your positive outlook.",0
"How the hell could you let this happen and why didn't you take action sooner?",1
"I'm so happy to have you on our team and your enthusiasm is contagious.",0
"Your effort really shows and I'm proud of the work you've put into this project.",0
"This is absolute crap and I won't accept it as a valid excuse.",1
"I appreciate your attention to detail and the thoroughness of your work.",0
"You have been a fantastic mentor and I've learned so much from you.",0
"You're a fucking idiot and I can't believe you made such a stupid decision.",1
"I love your enthusiasm and passion for this project.",0
"Thank you for your commitment and dedication to our team.",0
"You're a fucking moron and I'm tired of dealing with your incompetence.",1
"I can't stand your bullshit and it's time you started taking responsibility for your actions.",1
"This is such a shitty situation and I don't know how we're going to resolve it.",1
"I can't believe you said that shit and now we're all dealing with the consequences.",1
